Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AUS,Australia,GDP per capita growth (annual %),2.701328764,0.565688738,2.739716104,1.722900255,2.856048922,1.851139498,1.289214061,3.197559712,1.601302301,-0.142470567,0.492053155,1.048854351,2.119683584,0.834364138,1.015114223,0.732407044
BRA,Brazil,GDP per capita growth (annual %),2.911826443,0.013369738,1.709474389,-0.122936492,4.497077078,2.026307404,2.834754095,4.974704674,4.054409568,-1.081943896,6.524372804,3.026406873,1.014509775,2.108911835,-0.352479218,-4.351483989
CAN,Canada,GDP per capita growth (annual %),3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801
CHN,China,GDP per capita growth (annual %),7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,9.027174425,7.339468994,7.23540947,6.883229179,6.498792134
DEU,Germany,GDP per capita growth (annual %),2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353
IND,India,GDP per capita growth (annual %),2.021088695,3.027377624,2.064875058,6.093705485,6.193653448,6.231948516,6.403284515,6.04817406,1.587598136,6.351088711,7.042346887,3.893930345,4.165499831,5.134956907,6.186731983,6.797039412
IDN,Indonesia,GDP per capita growth (annual %),3.482209125,2.235181135,3.090633543,3.376536131,3.630902268,4.289595233,4.107515275,4.946465429,4.620033267,3.247327414,4.812281788,4.748220608,4.606284255,4.151271234,3.63914313,3.555439566
IRN,"Iran, Islamic Rep.",GDP per capita growth (annual %),4.53123959,-0.473652305,5.933302091,7.396782151,3.120610975,1.990106181,3.820523973,6.970587537,-0.839117733,-0.106548779,4.596446951,1.445852238,-8.553295826,-1.423452111,3.274962297,-2.611099313
JPN,Japan,GDP per capita growth (annual %),2.607851314,0.164695475,-0.114538322,1.311201372,2.170289266,1.653122597,1.355753419,1.537441316,-1.141424849,-5.404594188,4.173027538,0.069762808,1.657317593,2.147531753,0.507999337,1.330400881
KOR,"Korea, Rep.",GDP per capita growth (annual %),8.15268966,4.051006403,7.10433311,2.614039827,4.781286153,4.087645147,4.712927655,5.266361146,2.23375226,0.27526898,6.274019889,2.891411994,1.865599496,2.696150961,2.556219509,2.268429401
MEX,Mexico,GDP per capita growth (annual %),3.440985879,-1.792903613,-1.402932265,0.072262315,2.494832985,0.869515797,2.984438342,0.782568094,-0.357632988,-6.67416705,3.617189436,2.227160852,2.247145121,0.029449417,1.544045264,2.019023395
POL,Poland,GDP per capita growth (annual %),5.658715074,1.286410848,2.083176394,3.568276628,5.044268419,3.552347627,6.198421176,7.119699396,4.185753117,2.762525787,4.037233683,4.701325268,1.325133072,1.186825793,3.455982004,4.305813693
RUS,Russian Federation,GDP per capita growth (annual %),10.463718,5.546717048,5.182746813,7.787965202,7.632492501,6.806606168,8.554944957,8.685760611,5.246214034,-7.827749092,4.453094432,4.218725874,3.849155632,1.538963817,-1.045257463,-2.183888387
SAU,Saudi Arabia,GDP per capita growth (annual %),3.22645784,-3.721164618,-5.505128296,8.01558003,4.803447827,2.543984583,-0.073621501,-0.928231268,3.360699551,-4.787296527,2.008907792,6.703970907,2.20265505,-0.367217943,0.754234777,1.478372238
ZAF,South Africa,GDP per capita growth (annual %),2.742090718,1.339790661,2.397942551,1.696827032,3.289032502,3.982017457,4.277783336,4.008500447,1.823487575,-2.898730937,1.551072526,1.720714283,0.607949069,0.852684804,0.247278816,-0.341677246
ESP,Spain,GDP per capita growth (annual %),4.776451415,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.704522023,-0.709567924,-4.611871706,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451
THA,Thailand,GDP per capita growth (annual %),3.369968559,2.489316592,5.271117831,6.39087856,5.560908221,3.517291596,4.335656603,4.846449058,1.192205677,-1.189423812,6.98828156,0.357196042,6.740737523,2.222548133,0.550276983,2.719976106
TUR,Turkey,GDP per capita growth (annual %),5.3221493,-7.147848536,4.890314622,4.252462059,8.286033003,7.559684721,5.620656246,3.797997951,-0.382919891,-6.027914118,6.919601986,9.509069038,3.09123616,6.663329395,3.16878332,4.331706182
GBR,United Kingdom,GDP per capita growth (annual %),3.068548101,2.578699193,1.892089809,2.806551752,1.793155647,2.473711779,2.035550362,1.63605844,-1.0628931,-4.969350259,1.153474876,0.749697221,0.775734706,1.457701819,1.854584591,1.547697098
USA,United States,GDP per capita growth (annual %),2.975208624,0.003648984,0.802103845,1.980925839,2.842680638,2.563502406,1.86795552,0.911865595,-1.076700086,-3.387435664,1.7182013,0.822277546,1.508614153,1.145053236,1.78278554,2.158873603
